"","response","predictor 1: VI","predictor 2: cover","predictor 3: A-horizon","R2","AIC"
"1","biomass","NDVI,  1868.76 ,  0.0000",NA,NA,"0.203","4407.94"
"2","biomass","GDVI2,  2515.98 ,  0.0000",NA,NA,"0.171","4419.71"
"3","biomass","GNDVI,  3110.99 ,  0.0000",NA,NA,"0.249","4390.01"
"4","biomass","NDVIt,  5874.53 ,  0.0000",NA,NA,"0.189","4413.13"
"5","biomass","GDVI2t,  16993.78 ,  0.0000",NA,NA,"0.189","4412.93"
"6","biomass","GNDVIt,  8078.08 ,  0.0000",NA,NA,"0.263","4384.47"
"7","biomass","NDVIt nf,  5827.02 ,  0.0000",NA,NA,"0.189","4412.97"
"8","biomass","GDVI2t nf,  16534.45 ,  0.0000",NA,NA,"0.190","4412.64"
"9","biomass","GNDVIt nf,  8005.27 ,  0.0000",NA,NA,"0.263","4384.40"
"10","biomass","NDVI,  271.33 ,  0.3139","cover,  8.76 ,  0.0000",NA,"0.369","4268.41"
"11","biomass","GDVI2,  24.32 ,  0.9511","cover,  9.38 ,  0.0000",NA,"0.366","4269.43"
"12","biomass","GNDVI,  833.03 ,  0.0462","cover,  8.01 ,  0.0000",NA,"0.375","4265.42"
"13","biomass","NDVIt,  2368.60 ,  9e-04","cover,  8.11 ,  0.0000",NA,"0.390","4258.38"
"14","biomass","GDVI2t,  6254.64 ,  0.0031","cover,  8.15 ,  0.0000",NA,"0.385","4260.58"
"15","biomass","GNDVIt,  3929.24 ,  0.0000","cover,  7.30 ,  0.0000",NA,"0.410","4248.68"
"16","biomass","NDVI,  286.46 ,  0.2892","cover,  8.72 ,  0.0000","Ahor,  2.62 ,  0.4277","0.370","4269.77"
"17","biomass","GDVI2,  27.64 ,  0.9444","cover,  9.36 ,  0.0000","Ahor,  2.37 ,  0.4718","0.367","4270.91"
"18","biomass","GNDVI,  821.20 ,  0.0498","cover,  8.02 ,  0.0000","Ahor,  2.08 ,  0.5254","0.376","4267.01"
"19","biomass","NDVIt,  2693.42 ,  3e-04","cover,  7.90 ,  0.0000","Ahor,  5.60 ,  0.0941","0.390","4258.38"
"20","biomass","GDVI2t,  7004.52 ,  0.0013","cover,  7.98 ,  0.0000","Ahor,  4.92 ,  0.1403","0.390","4260.37"
"21","biomass","GNDVIt,  3967.43 ,  0.0000","cover,  7.27 ,  0.0000","Ahor,  3.06 ,  0.0000","0.412","4249.75"
